0,0.282,0.188
5,0.282,0.186
10,0.277,0.179
15,0.268,0.167
20,0.255,0.15
25,0.238,0.131
30,0.22,0.11
40,0.175,0.069
50,0.125,0.035
60,0.079,0.014
65,0.058,0.007
70,0.04,0.004
75,0.024,0.002
80,0.012,0.001
85,0.004,0.001
90,0.001,0.001
95,0.002,0.001
100,0.007,0.001
105,0.016,0.001
110,0.03,0.003
115,0.046,0.006
